dd/mm/yyyy hh/mm/ss (x, y)

17/09/2024 23:51:09 (0.0 0.0)
17/09/2024 23:51:09 (0.0 0.0)
17/09/2024 23:51:09 (0.0 0.0)
17/09/2024 23:51:09 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:10 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:11 (0.0 0.0)
17/09/2024 23:51:12 (0.0 0.0)
17/09/2024 23:51:12 (0.0 0.0)
17/09/2024 23:51:12 (0.0 0.0)
17/09/2024 23:51:12 (0.0 0.0)
17/09/2024 23:51:12 (0.0 0.0)
17/09/2024 23:51:12 (0.0 0.0)
17/09/2024 23:51:12 (0.0 0.0)
17/09/2024 23:51:13 (0.0 0.0)
17/09/2024 23:51:22 (0.0 0.0)
17/09/2024 23:51:22 (0.0 0.0)
17/09/2024 23:51:26 (0.03 0.0)
17/09/2024 23:51:26 (0.03 0.0)
17/09/2024 23:51:27 (0.03 0.0)
17/09/2024 23:51:27 (0.03 0.0)
17/09/2024 23:51:27 (0.03 0.0)
17/09/2024 23:51:28 (0.03 0.0)
17/09/2024 23:51:28 (0.03 0.0)
17/09/2024 23:51:28 (0.03 0.0)
17/09/2024 23:51:28 (0.03 0.0)
17/09/2024 23:51:28 (0.03 0.0)
17/09/2024 23:51:28 (0.03 0.0)
17/09/2024 23:51:28 (0.03 0.0)
17/09/2024 23:51:32 (0.03 0.0)
17/09/2024 23:51:32 (0.03 0.0)
17/09/2024 23:51:32 (0.03 0.0)
17/09/2024 23:51:32 (0.03 0.0)
17/09/2024 23:51:32 (0.03 0.0)
17/09/2024 23:51:32 (0.03 0.0)
17/09/2024 23:51:43 (0.03 0.0)
17/09/2024 23:51:43 (0.03 0.0)
17/09/2024 23:51:44 (0.03 0.0)
17/09/2024 23:51:44 (0.03 0.0)

24/09/2024 11:42:26 (0.0 0.0)
24/09/2024 11:42:26 (0.0 0.0)
24/09/2024 11:42:26 (0.0 0.0)
24/09/2024 11:42:26 (0.0 0.0)
24/09/2024 11:42:26 (0.0 0.0)
24/09/2024 11:42:27 (0.0 0.0)
24/09/2024 11:42:27 (0.0 0.0)
24/09/2024 11:42:27 (0.0 0.0)
24/09/2024 11:42:27 (0.0 0.0)
24/09/2024 11:42:27 (0.0 0.0)
24/09/2024 11:42:27 (0.0 0.0)
24/09/2024 11:42:28 (0.0 0.0)
24/09/2024 11:42:28 (0.0 0.0)
24/09/2024 11:42:28 (0.0 0.0)
24/09/2024 11:42:28 (0.0 0.0)
24/09/2024 11:42:28 (0.0 0.0)
24/09/2024 11:42:28 (0.0 0.0)
24/09/2024 11:42:29 (0.0 0.0)
24/09/2024 11:42:29 (0.0 0.0)
24/09/2024 11:42:29 (0.0 0.0)
24/09/2024 11:42:29 (0.0 0.0)
24/09/2024 11:42:29 (0.0 0.0)
24/09/2024 11:42:29 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:30 (0.0 0.0)
24/09/2024 11:42:31 (0.0 0.0)
24/09/2024 11:42:31 (0.0 0.0)
24/09/2024 11:42:31 (0.0 0.0)
24/09/2024 11:42:31 (0.0 0.0)
24/09/2024 11:42:31 (0.0 0.0)
24/09/2024 11:42:31 (0.0 0.0)
24/09/2024 11:42:31 (0.0 0.0)
24/09/2024 11:42:32 (0.0 0.0)
24/09/2024 11:42:32 (0.0 0.0)
24/09/2024 11:42:32 (0.0 0.0)
24/09/2024 11:42:32 (0.0 0.0)
24/09/2024 11:42:32 (0.0 0.0)
24/09/2024 11:42:32 (0.0 0.0)
24/09/2024 11:42:32 (0.0 0.0)
24/09/2024 11:42:33 (0.0 0.0)
24/09/2024 11:42:33 (0.0 0.0)
24/09/2024 11:42:33 (0.0 0.0)
24/09/2024 11:42:33 (0.0 0.0)
24/09/2024 11:42:33 (0.0 0.0)
24/09/2024 11:42:33 (0.0 0.0)
24/09/2024 11:42:33 (0.0 0.0)
